vocabulary_id,concept_id,lang_code,word,article,gender,pronunciation,part_of_speech,concept_type,domain,sub_domain,micro_category,definition,frequency,image_id,example_sentence,example_sentence_pronunciation
1,1,om,ta'uu,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,jiraachuu ykn haala tokko qabaachuu,Very high,Img_1,Ani ogeessa fayyaa ta'uun barbaada.,
2,1,af,wees,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,bestaan of 'n toestand hê,Very high,Img_1,Ek wil 'n dokter wees.,
3,1,ak,yɛ,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,wɔ hɔ anaa te tebea bi mu,Very high,Img_1,Mepɛ sɛ meyɛ oduruyɛfoɔ.,
4,1,sq,jam,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,të ekzistosh ose të kesh një gjendje,Very high,Img_1,Unë dua të jem mjek.,
5,1,am,መሆን,,,mehoni,verb,action,Universal Verbs,Existence,Existence & state verbs,መኖር ወይም አንድ ሁኔታ ውስጥ መሆን,Very high,Img_1,ሐኪም መሆን እፈልጋለሁ።,hakīmi mehoni ifeligalehu
6,1,ar,كان,,,kāna,verb,action,Universal Verbs,Existence,Existence & state verbs,الوجود أو الحصول على حالة,Very high,Img_1,أريد أن أكون طبيباً.,'urīdu 'an 'akūna ṭabīban.
7,1,hy,լինել,,,linel,verb,action,Universal Verbs,Existence,Existence & state verbs,գոյություն ունենալ կամ ունենալ որևէ վիճակ,Very high,Img_1,Ես ուզում եմ բժիշկ լինել:,Yes uzum yem bzhishk linel.
8,1,as,হোৱা,,,hüwa,verb,action,Universal Verbs,Existence,Existence & state verbs,অস্তিত্ব থকা বা কোনো অৱস্থাত থকা,Very high,Img_1,মই এজন ডাক্তৰ হ'ব বিচাৰোঁ।,môi ezôn daktôr h'bô bisarü
9,1,az,olmaq,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,mövcud olmaq və ya bir vəziyyətdə olmaq,Very high,Img_1,Mən həkim olmaq istəyirəm.,
10,1,eu,izan,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,existitu edo egoera bat eduki,Very high,Img_1,Medikua izan nahi dut.,
11,1,be,быць,,,byts',verb,action,Universal Verbs,Existence,Existence & state verbs,існаваць або мець стан,Very high,Img_1,Я хачу быць урачом.,Ya khachu byts' urachom.
12,1,bn,হওয়া,,,howa,verb,action,Universal Verbs,Existence,Existence & state verbs,অস্তিত্ব থাকা বা কোন অবস্থায় থাকা,Very high,Img_1,আমি ডাক্তার হতে চাই।,ami daktar hote chai
13,1,bho,होखल,,,hōkhala,verb,action,Universal Verbs,Existence,Existence & state verbs,मौजूद रहल भा कवनो स्थिति में रहल,Very high,Img_1,हम डाक्टर बनल चाहत बानी।,hama ḍākaṭara banala cāhata bānī.
14,1,bs,biti,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,postojati ili imati stanje,Very high,Img_1,Želim biti doktor.,
15,1,bg,съм,,,sam,verb,action,Universal Verbs,Existence,Existence & state verbs,съществувам или имам състояние,Very high,Img_1,Искам да бъда лекар.,Iskam da bada lekar.
16,1,my,ဖြစ်သည်,,,hpyit thi,verb,action,Universal Verbs,Existence,Existence & state verbs,တည်ရှိသည် သို့မဟုတ် အခြေအနေတစ်ခုရှိသည်,Very high,Img_1,ကျွန်တော် ဆရာဝန် ဖြစ်ချင်တယ်။,kyun taw sa ya wan hpyit chin tal
17,1,yue,做,,,zou6,verb,action,Universal Verbs,Existence,Existence & state verbs,存在或者有一種狀態,Very high,Img_1,我想做醫生。,ngo5 soeng2 zou6 ji1 sang1.
18,1,ca,ser,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,existir o tenir un estat,Very high,Img_1,Vull ser metge.,
19,1,ceb,mahimong,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,anaa o adunay usa ka kahimtang,Very high,Img_1,Gusto ko mahimong doktor.,
20,1,ny,kukhala,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,kukhalapo kapena kukhala mu mkhalidwe winawake,Very high,Img_1,Ndikufuna kukhala dokotala.,
21,1,zh-CN,成为,,,chéngwéi,verb,action,Universal Verbs,Existence,Existence & state verbs,存在或具有某种状态,Very high,Img_1,我想成为一名医生。,wǒ xiǎng chéngwéi yì míng yīshēng.
22,1,zh-TW,成為,,,chéngwéi,verb,action,Universal Verbs,Existence,Existence & state verbs,存在或具有某種狀態,Very high,Img_1,我想成為一名醫生。,wǒ xiǎng chéngwéi yì míng yīshēng.
23,1,hr,biti,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,postojati ili imati stanje,Very high,Img_1,Želim biti doktor.,
24,1,cs,být,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,existovat nebo mít nějaký stav,Very high,Img_1,Chci být doktorem.,
25,1,da,være,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,eksistere eller have en tilstand,Very high,Img_1,Jeg vil gerne være læge.,
26,1,nl,zijn,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,bestaan of een toestand hebben,Very high,Img_1,Ik wil een dokter zijn.,
27,1,en-GB,to be,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,exist or have a state,Very high,Img_1,I want to be a doctor.,
28,1,en-US,to be,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,exist or have a state,Very high,Img_1,I want to be a doctor.,
29,1,et,olema,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,eksisteerima või seisundit omama,Very high,Img_1,Ma tahan olla arst.,
30,1,fil,maging,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,umiral o magkaroon ng isang kalagayan,Very high,Img_1,Gusto kong maging isang doktor.,
31,1,fi,olla,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,olla olemassa tai jossakin tilassa,Very high,Img_1,Haluan olla lääkäri.,
32,1,fr,être,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,exister ou avoir un état,Very high,Img_1,Je veux être docteur.,
33,1,fr-CA,être,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,exister ou avoir un état,Very high,Img_1,Je veux être docteur.,
34,1,ff,wonde,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,woodde walla jogade ngonka,Very high,Img_1,Miɗo yiɗi wonde doktoor.,
35,1,gl,ser,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,existir ou ter un estado,Very high,Img_1,Quero ser médico.,
36,1,ka,ყოფნა,,,q'ovna,verb,action,Universal Verbs,Existence,Existence & state verbs,არსებობა ან რაიმე მდგომარეობაში ყოფნა,Very high,Img_1,მინდა ვიყო ექიმი.,minda viq'o ekimi.
37,1,de,sein,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,existieren oder einen Zustand haben,Very high,Img_1,Ich möchte ein Arzt sein.,
38,1,el,είμαι,,,eímai,verb,action,Universal Verbs,Existence,Existence & state verbs,υπάρχω ή βρίσκομαι σε μια κατάσταση,Very high,Img_1,Θέλω να είμαι γιατρός.,Thélo na eímai giatrós.
39,1,gn,iko,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,oĩ térã oguereko peteĩ tekove,Very high,Img_1,Che aikosé pohãnohára.,
40,1,gu,હોવું,,,hōvuṃ,verb,action,Universal Verbs,Existence,Existence & state verbs,અસ્તિત્વમાં હોવું અથવા સ્થિતિ હોવી,Very high,Img_1,મારે ડૉક્ટર હોવું છે.,mārē ḍŏkṭara hōvuṃ chē.
41,1,ht,se,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,egziste oswa gen yon eta,Very high,Img_1,Mwen vle se yon doktè.,
42,1,ha,zama,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,kasancewa ko samun wani yanayi,Very high,Img_1,Ina so in zama likita.,
43,1,he,להיות,,,lihiyot,verb,action,Universal Verbs,Existence,Existence & state verbs,להתקיים או להיות במצב מסוים,Very high,Img_1,אני רוצה להיות רופא.,ani rotse lihiyot rofe.
44,1,hi,होना,,,hōnā,verb,action,Universal Verbs,Existence,Existence & state verbs,अस्तित्व में होना या कोई स्थिति होना,Very high,Img_1,मैं एक डॉक्टर होना चाहता हूँ।,maiṃ ēk ḍŏkṭar hōnā cāhtā hūṃ.
45,1,hmn,ua,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,muaj nyob los yog muaj ib lub xeev,Very high,Img_1,Kuv xav ua ib tug kws kho mob.,
46,1,hu,lenni,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,létezni vagy valamilyen állapotban lenni,Very high,Img_1,Orvos akarok lenni.,
47,1,is,vera,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,að vera til eða hafa ástand,Very high,Img_1,Mig langar að vera læknir.,
48,1,ig,ịbụ,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,ịdị adị ma ọ bụ inwe ọnọdụ,Very high,Img_1,Achọrọ m ịbụ dọkịta.,
49,1,id,menjadi,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,ada atau memiliki suatu keadaan,Very high,Img_1,Saya ingin menjadi seorang dokter.,
50,1,ga,a bheith,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,a bheith ann nó staid a bheith agat,Very high,Img_1,Ba mhaith liom a bheith i mo dhochtúir.,
51,1,xh,ukuba,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,ukubakho okanye ukuba nemeko ethile,Very high,Img_1,Ndifuna ukuba ngugqirha.,
52,1,it,essere,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,esistere o avere uno stato,Very high,Img_1,Voglio essere un dottore.,
53,1,ja,になる,,,ni naru,verb,action,Universal Verbs,Existence,Existence & state verbs,存在する、またはある状態である,Very high,Img_1,私は医者になりたいです。,watashi wa isha ni naritai desu.
54,1,jv,dadi,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,ana utawa duwe kahanan,Very high,Img_1,Aku pengin dadi dokter.,
55,1,kn,ಆಗಿರು,,,āgiru,verb,action,Universal Verbs,Existence,Existence & state verbs,ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದು ಅಥವಾ ಸ್ಥಿತಿಯನ್ನು ಹೊಂದಿರುವುದು,Very high,Img_1,ನಾನು ವೈದ್ಯನಾಗಲು ಬಯಸುತ್ತೇನೆ.,nānu vaidyanāgalu bayasuttēne.
56,1,ks,آسُن,,,āsun,verb,action,Universal Verbs,Existence,Existence & state verbs,موجوٗد آسُن یا کُنہِ حالَتھ مَنٛز آسُن,Very high,Img_1,بٕہ چُھس ڈاکٹَر بَنُن یَژھان۔,bih chus ḍākṭar banun yatshān.
57,1,kk,болу,,,bolu,verb,action,Universal Verbs,Existence,Existence & state verbs,болу немесе белгілі бір күйде болу,Very high,Img_1,Мен дәрігер болғым келеді.,Men däriger bolğym keledi.
58,1,km,ធ្វើជា,,,thveu chea,verb,action,Universal Verbs,Existence,Existence & state verbs,មានឬមានស្ថានភាពណាមួយ,Very high,Img_1,ខ្ញុំចង់ធ្វើជាវេជ្ជបណ្ឌិត។,khnhom chong thveu chea vech-cheabandet.
59,1,rw,kuba,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,kubaho cyangwa kugira imiterere runaka,Very high,Img_1,Ndashaka kuba umuganga.,
60,1,ko,이다,,,ida,verb,action,Universal Verbs,Existence,Existence & state verbs,존재하거나 어떤 상태를 가지다,Very high,Img_1,나는 의사가 되고 싶습니다.,naneun uisaga doego sipseumnida.
61,1,ku,bûn,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,hebûn an di rewşekê de bûn,Very high,Img_1,Ez dixwazim bibim doktor.,
62,1,ky,болуу,,,boluu,verb,action,Universal Verbs,Existence,Existence & state verbs,болуу же бир абалда болуу,Very high,Img_1,Мен дарыгер болгум келет.,Men daryger bolgum kelet.
63,1,lo,ເປັນ,,,pen,verb,action,Universal Verbs,Existence,Existence & state verbs,ມີຢູ່ ຫຼື ມີສະຖານະ,Very high,Img_1,ຂ້ອຍຢາກເປັນທ່ານໝໍ.,khoy yak pen than mo.
64,1,lv,būt,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,eksistēt vai būt kādā stāvoklī,Very high,Img_1,Es gribu būt ārsts.,
65,1,ln,kozala,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,kozala to kozala na ezaleli moko,Very high,Img_1,Nalingi kozala monganga.,
66,1,lt,būti,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,egzistuoti arba turėti būseną,Very high,Img_1,Aš noriu būti gydytojas.,
67,1,lg,okuba,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,okubaawo oba okuba mu mbeera,Very high,Img_1,Njagala kuba musawo.,
68,1,lb,sinn,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,existéieren oder an engem Zoustand sinn,Very high,Img_1,Ech wëll en Dokter sinn.,
69,1,mk,биде,,,bide,verb,action,Universal Verbs,Existence,Existence & state verbs,да се постои или да се има состојба,Very high,Img_1,Сакам да бидам доктор.,Sakam da bidam doktor.
70,1,mad,daddi,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,badha otaba andi' kabadaan,Very high,Img_1,Sengko' terro daddi dokter.,
71,1,mg,ho,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,misy na manana sata,Very high,Img_1,Te ho dokotera aho.,
72,1,ms,menjadi,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,wujud atau mempunyai sesuatu keadaan,Very high,Img_1,Saya ingin menjadi seorang doktor.,
73,1,ml,ആകുക,,,ākuka,verb,action,Universal Verbs,Existence,Existence & state verbs,നിലനിൽക്കുക അല്ലെങ്കിൽ ഒരു അവസ്ഥ ഉണ്ടായിരിക്കുക,Very high,Img_1,എനിക്ക് ഒരു ഡോക്ടർ ആകണം.,enikkǔ oru ḍōkṭar ākaṇaṃ.
74,1,mt,tkun,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,teżisti jew ikollok stat,Very high,Img_1,Irrid inkun tabib.,
75,1,mr,असणे,,,asaṇē,verb,action,Universal Verbs,Existence,Existence & state verbs,अस्तित्वात असणे किंवा स्थितीत असणे,Very high,Img_1,मला डॉक्टर व्हायचे आहे.,malā ḍŏkṭara vhāyacē āhē.
76,1,mi,hei,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,kia ora, kia whai āhua rānei,Very high,Img_1,E hiahia ana ahau kia hei tākuta.,
77,1,mn,байх,,,baikh,verb,action,Universal Verbs,Existence,Existence & state verbs,оршин байх эсвэл ямар нэг төлөв байдалд байх,Very high,Img_1,Би эмч болохыг хүсэж байна.,Bi emch bolokhyg khüsej baina.
78,1,ne,हुनु,,,hunu,verb,action,Universal Verbs,Existence,Existence & state verbs,अस्तित्वमा हुनु वा अवस्थामा हुनु,Very high,Img_1,म डाक्टर हुन चाहन्छु।,ma ḍākṭar huna cāhanchu.
79,1,pcm,bi,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,to dey or to bi somtin,Very high,Img_1,I won bi doctor.,
80,1,nb-NO,være,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,eksistere eller ha en tilstand,Very high,Img_1,Jeg vil være lege.,
81,1,or,ହେବା,,,hēbā,verb,action,Universal Verbs,Existence,Existence & state verbs,ବିଦ୍ୟମାନ ରହିବା କିମ୍ବା ଏକ ଅବସ୍ଥାରେ ରହିବା,Very high,Img_1,ମୁଁ ଜଣେ ଡାକ୍ତର ହେବାକୁ ଚାହୁଁଛି |,muñ jôṇē ḍāktôr hēbāku cāhuñchi.
82,1,ps,کېدل,,,kēdal,verb,action,Universal Verbs,Existence,Existence & state verbs,شتون درلودل یا په یو حالت کې اوسېدل,Very high,Img_1,زه غواړم ډاکټر شم.,zə ghwāṛam ḍākṭar sham.
83,1,fa,بودن,,,būdan,verb,action,Universal Verbs,Existence,Existence & state verbs,وجود داشتن یا در حالتی بودن,Very high,Img_1,من می‌خواهم دکتر باشم.,man mīkhāham doktor bāsham.
84,1,pl,być,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,istnieć lub znajdować się w jakimś stanie,Very high,Img_1,Chcę być lekarzem.,
85,1,pt-BR,ser,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,existir ou ter um estado,Very high,Img_1,Eu quero ser médico.,
86,1,pt-PT,ser,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,existir ou ter um estado,Very high,Img_1,Eu quero ser médico.,
87,1,pa,ਹੋਣਾ,,,hōnā,verb,action,Universal Verbs,Existence,Existence & state verbs,ਮੌਜੂਦ ਹੋਣਾ ਜਾਂ ਕੋਈ ਸਥਿਤੀ ਹੋਣਾ,Very high,Img_1,ਮੈਂ ਡਾਕਟਰ ਬਣਨਾ ਚਾਹੁੰਦਾ ਹਾਂ।,maiṃ ḍākaṭara baṇanā cāhundā hāṃ.
88,1,qu,kay,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,kawsay otaq imaynapas kay,Very high,Img_1,Doctormi kayta munani.,
89,1,ro,a fi,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,a exista sau a avea o stare,Very high,Img_1,Vreau să fiu medic.,
90,1,ru,быть,,,byt',verb,action,Universal Verbs,Existence,Existence & state verbs,существовать или находиться в каком-либо состоянии,Very high,Img_1,Я хочу быть врачом.,Ya khochu byt' vrachom.
91,1,skr,ہووݨ,,,hōvaṇ,verb,action,Universal Verbs,Existence,Existence & state verbs,موجود ہووݨ یاں کہیں حالت وچ ہووݨ۔,Very high,Img_1,میں ڈاکٹر بݨݨ چاہنداں۔,maiṃ ḍākṭar baṇaṇ cāhndāṃ.
92,1,sr,бити,,,biti,verb,action,Universal Verbs,Existence,Existence & state verbs,постојати или имати стање,Very high,Img_1,Желим да будем доктор.,Želim da budem doktor.
93,1,st,ho ba,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,ho ba teng kapa ho ba boemong bo itseng,Very high,Img_1,Ke batla ho ba ngaka.,
94,1,sn,kuva,,,,verb,action,Universal Verbs,Existence,Existence & state verbs,kuvapo kana kuva mune mamiriro,Very high,Img_1,Ndinoda kuva chiremba.,
