sentence_id,concept_id,concept_chapter,lang_code,level,category,sort_order,sentence,sentence_pronunciation,notes
1,1,greeting_basic,om,A0,ca1,1,Akkam,,Nagaa bu'uuraa.
2,1,greeting_basic,af,A0,ca1,1,Hallo,,Basiese groet.
3,1,greeting_basic,ak,A0,ca1,1,Agoo,,Nkyia a ɛyɛ nnyinaso.
4,1,greeting_basic,sq,A0,ca1,1,Përshëndetje,,Përshëndetje bazë.
5,1,greeting_basic,am,A0,ca1,1,ሰላም,selam,መሰረታዊ ሰላምታ።
6,1,greeting_basic,ar,A0,ca1,1,مرحبًا,marhaban,تحية أساسية.
7,1,greeting_basic,hy,A0,ca1,1,Բարև,barev,Հիմնական ողջույն:
8,1,greeting_basic,as,A0,ca1,1,নমস্কাৰ,nomoskar,সাধাৰণ সম্ভাষণ।
9,1,greeting_basic,az,A0,ca1,1,Salam,,Əsas salamlaşma.
10,1,greeting_basic,eu,A0,ca1,1,Kaixo,,Oinarrizko agurra.
11,1,greeting_basic,be,A0,ca1,1,Прывітанне,pryvitannie,Базавае прывітанне.
12,1,greeting_basic,bn,A0,ca1,1,হ্যালো,hyālō,সাধারণ সম্ভাষণ।
13,1,greeting_basic,bho,A0,ca1,1,नमस्ते,namastē,मूल अभिवादन।
14,1,greeting_basic,bs,A0,ca1,1,Zdravo,,Osnovni pozdrav.
15,1,greeting_basic,bg,A0,ca1,1,Здравей,zdravey,Основен поздрав.
16,1,greeting_basic,my,A0,ca1,1,မင်္ဂလာပါ,min-ga-la-ba,အခြေခံ နှုတ်ခွန်းဆက်စကား။
17,1,greeting_basic,yue,A0,ca1,1,你好,nei5 hou2,基本問候。
18,1,greeting_basic,ca,A0,ca1,1,Hola,,Salutació bàsica.
19,1,greeting_basic,ceb,A0,ca1,1,Halo,,Batakang pangomusta.
20,1,greeting_basic,ny,A0,ca1,1,Monile,,Moni wamba.
21,1,greeting_basic,zh-CN,A0,ca1,1,你好,nǐ hǎo,基本问候。
22,1,greeting_basic,zh-TW,A0,ca1,1,你好,nǐ hǎo,基本問候。
23,1,greeting_basic,hr,A0,ca1,1,Bok,,Osnovni pozdrav.
24,1,greeting_basic,cs,A0,ca1,1,Ahoj,,Základní pozdrav.
25,1,greeting_basic,da,A0,ca1,1,Hej,,Grundlæggende hilsen.
26,1,greeting_basic,nl,A0,ca1,1,Hallo,,Basisgroet.
27,1,greeting_basic,en-GB,A0,ca1,1,Hello,,Basic greeting.
28,1,greeting_basic,en-US,A0,ca1,1,Hello,,Basic greeting.
29,1,greeting_basic,et,A0,ca1,1,Tere,,Põhitervitus.
30,1,greeting_basic,fil,A0,ca1,1,Halo,,Batayang pagbati.
31,1,greeting_basic,fi,A0,ca1,1,Hei,,Perustervehdys.
32,1,greeting_basic,fr,A0,ca1,1,Bonjour,,Salutation de base.
33,1,greeting_basic,fr-CA,A0,ca1,1,Allo,,Salutation de base.
34,1,greeting_basic,ff,A0,ca1,1,No ngoolu-daa,,Salminandu ɓooyndu.
35,1,greeting_basic,gl,A0,ca1,1,Ola,,Saúdo básico.
36,1,greeting_basic,ka,A0,ca1,1,გამარჯობა,gamarjoba,ძირითადი მისალმება.
37,1,greeting_basic,de,A0,ca1,1,Hallo,,Grundlegende Begrüßung.
38,1,greeting_basic,el,A0,ca1,1,Γεια,ya,Βασικός χαιρετισμός.
39,1,greeting_basic,gn,A0,ca1,1,Maitepa,,Maitei tenonde.
40,1,greeting_basic,gu,A0,ca1,1,નમસ્તે,namastē,મૂળભૂત અભિવાદન.
41,1,greeting_basic,ht,A0,ca1,1,Bonjou,,Bonjou debaz.
42,1,greeting_basic,ha,A0,ca1,1,Sannu,,Gaisuwa ta asali.
43,1,greeting_basic,he,A0,ca1,1,שלום,shalom,ברכה בסיסית.
44,1,greeting_basic,hi,A0,ca1,1,नमस्ते,namastē,मूल अभिवादन।
45,1,greeting_basic,hmn,A0,ca1,1,Nyob zoo,,Kev kais txais yooj yim.
46,1,greeting_basic,hu,A0,ca1,1,Szia,,Alapvető köszönés.
47,1,greeting_basic,is,A0,ca1,1,Halló,,Grunnkveðja.
48,1,greeting_basic,ig,A0,ca1,1,Nnọọ,,Ekele mbido.
49,1,greeting_basic,id,A0,ca1,1,Halo,,Sapaan dasar.
50,1,greeting_basic,ga,A0,ca1,1,Dia duit,,Beannacht bhunúsach.
51,1,greeting_basic,xh,A0,ca1,1,Molo,,Umbuliso osisiseko.
52,1,greeting_basic,it,A0,ca1,1,Ciao,,Saluto di base.
53,1,greeting_basic,ja,A0,ca1,1,こんにちは,konnichiwa,基本的な挨拶。
54,1,greeting_basic,jv,A0,ca1,1,Halo,,Salam dhasar.
55,1,greeting_basic,kn,A0,ca1,1,ನಮಸ್ಕಾರ,namaskāra,ಮೂಲ ಶುಭಾಶಯ.
56,1,greeting_basic,ks,A0,ca1,1,سلام,salām,بُنیٲدی سلام۔
57,1,greeting_basic,kk,A0,ca1,1,Сәлем,sälem,Негізгі сәлемдесу.
58,1,greeting_basic,km,A0,ca1,1,សួស្តី,suostei,ការស្វាគមន៍មូលដ្ឋាន។
59,1,greeting_basic,rw,A0,ca1,1,Muraho,,Indamutso y'ibanze.
60,1,greeting_basic,ko,A0,ca1,1,안녕하세요,annyeonghaseyo,기본 인사말.
61,1,greeting_basic,ku,A0,ca1,1,Silav,,Silava bingehîn.
62,1,greeting_basic,ky,A0,ca1,1,Салам,salam,Негизги саламдашуу.
63,1,greeting_basic,lo,A0,ca1,1,ສະບາຍດີ,sabai di,ການທັກທາຍພື້ນຖານ.
64,1,greeting_basic,lv,A0,ca1,1,Sveiki,,Pamata sveiciens.
65,1,greeting_basic,ln,A0,ca1,1,Mbote,,Mbote ya ebandeli.
66,1,greeting_basic,lt,A0,ca1,1,Labas,,Pagrindinis pasisveikinimas.
67,1,greeting_basic,lg,A0,ca1,1,Ki kati,,Okulamusa okusooka.
68,1,greeting_basic,lb,A0,ca1,1,Moien,,Grondleeënd Begréissung.
69,1,greeting_basic,mk,A0,ca1,1,Здраво,zdravo,Основен поздрав.
70,1,greeting_basic,mad,A0,ca1,1,Halo,,Salam dhasar.
71,1,greeting_basic,mg,A0,ca1,1,Manao ahoana,,Fiarahabana fototra.
72,1,greeting_basic,ms,A0,ca1,1,Halo,,Sapaan asas.
73,1,greeting_basic,ml,A0,ca1,1,ഹലോ,halō,അടിസ്ഥാന അഭിവാദ്യം.
74,1,greeting_basic,mt,A0,ca1,1,Ħello,,Tislima bażika.
75,1,greeting_basic,mr,A0,ca1,1,नमस्ते,namastē,मूलभूत अभिवादन.
76,1,greeting_basic,mi,A0,ca1,1,Kia ora,,Mihi taketake.
77,1,greeting_basic,mn,A0,ca1,1,Сайн байна уу,sain baina uu,Үндсэн мэндчилгээ.
78,1,greeting_basic,ne,A0,ca1,1,नमस्ते,namastē,आधारभूत अभिवादन।
79,1,greeting_basic,pcm,A0,ca1,1,Hello,,Normal greeting.
80,1,greeting_basic,nb-NO,A0,ca1,1,Hei,,Grunnleggende hilsen.
81,1,greeting_basic,or,A0,ca1,1,ନମସ୍କାର,namaskāra,ମୌଳିକ ଅଭିବାଦନ।
82,1,greeting_basic,ps,A0,ca1,1,سلام,salām,بنسټیز سلام.
83,1,greeting_basic,fa,A0,ca1,1,سلام,salām,احوالپرسی اولیه.
84,1,greeting_basic,pl,A0,ca1,1,Cześć,,Podstawowe powitanie.
85,1,greeting_basic,pt-BR,A0,ca1,1,Olá,,Saudação básica.
86,1,greeting_basic,pt-PT,A0,ca1,1,Olá,,Saudação básica.
87,1,greeting_basic,pa,A0,ca1,1,ਸਤਿ ਸ੍ਰੀ ਅਕਾਲ,sati srī akāla,ਮੂਲ ਸਵਾਗਤ।
88,1,greeting_basic,qu,A0,ca1,1,Napaykullayki,,Sapsi napaykuy.
89,1,greeting_basic,ro,A0,ca1,1,Bună,,Salut de bază.
90,1,greeting_basic,ru,A0,ca1,1,Привет,privet,Основное приветствие.
91,1,greeting_basic,skr,A0,ca1,1,سلام,salām,بنیادی سلام۔
